#The value for each line is the fraction of spaxels with S/N>=3 for that line WITHIN THE DILATED MASK
#flag values: 0=skipped (continuum S/N too low), 1=Normal Run (continuum binned to S/N=10), 
#  2=Low Thresh Run (continuum binned to S/N=4). Use N_MASK*fraction to get pixel number for a line
######################################################################################################
MAGPIID     z        flag   N_MASK    OII_3727     OII_3730     NeIII_3870   NeIII_3969   H5           He           Hd           Hg           OIII_4364    HeII_4687    ArIV_4713    ArIV_4741    Hb           OIII_5008    NI_5199      NI_5202      HeI_5877     OI_6302      Ha           NII_6585     SII_6718     SII_6733     
1202159194   0.5520    1      116           0.224000     0.267000     0.103000      0.00000    0.0690000    0.0340000    0.0340000     0.129000    0.0690000      0.00000    0.0600000      0.00000     0.233000     0.103000      0.00000    0.0260000    0.0340000      0.00000      0.00000      0.00000      0.00000      0.00000
1202161125   0.5513    1     2435          0.0460000    0.0650000    0.0480000    0.0310000    0.0430000    0.0350000    0.0290000    0.0500000    0.0530000    0.0200000    0.0140000    0.0230000    0.0310000    0.0370000   0.00600000    0.0120000    0.0140000      0.00000      0.00000      0.00000      0.00000      0.00000
1202190072   1.2595    1       96           0.448000     0.396000    0.0520000    0.0210000    0.0520000    0.0210000     0.135000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202193066   1.2592    1      110           0.191000     0.209000    0.0820000    0.0180000    0.0270000    0.0180000    0.0550000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202196051   0.9231    1      110           0.318000     0.445000     0.218000    0.0270000    0.0180000    0.0550000    0.0360000     0.100000    0.0640000    0.0180000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202197197   0.2913    1     3656           0.394000     0.426000    0.0820000    0.0300000     0.125000    0.0990000     0.181000     0.285000    0.0310000    0.0300000    0.0330000    0.0280000     0.382000     0.406000    0.0360000    0.0300000    0.0970000     0.117000     0.471000     0.313000     0.217000     0.242000
1202201221   0.5507    1       97           0.412000     0.526000    0.0520000      0.00000    0.0720000    0.0620000    0.0720000     0.258000    0.0520000    0.0410000      0.00000    0.0210000     0.402000     0.515000      0.00000      0.00000    0.0210000      0.00000      0.00000      0.00000      0.00000      0.00000
1202209276   0.5597    1      686            0.00000      0.00000    0.0360000    0.0200000    0.0290000    0.0220000    0.0410000    0.0510000    0.0480000    0.0130000    0.0350000    0.0290000    0.0320000    0.0220000    0.0130000    0.0130000    0.0120000      0.00000      0.00000      0.00000      0.00000      0.00000
1202211147   0.5613    1       93            0.00000      0.00000    0.0430000    0.0220000     0.118000     0.161000     0.204000     0.452000    0.0430000      0.00000    0.0110000      0.00000     0.613000     0.710000      0.00000    0.0220000    0.0220000      0.00000      0.00000      0.00000      0.00000      0.00000
1202217204   0.5508    1      231          0.0780000    0.0910000    0.0560000    0.0220000    0.0910000    0.0650000    0.0350000    0.0610000    0.0300000    0.0170000    0.0260000      0.00000     0.104000     0.173000   0.00900000   0.00900000   0.00900000      0.00000      0.00000      0.00000      0.00000      0.00000
1202221243   0.2921    1      479           0.104000     0.129000    0.0690000    0.0100000    0.0650000    0.0400000    0.0730000    0.0900000    0.0440000    0.0420000    0.0310000    0.0540000     0.129000    0.0920000    0.0230000    0.0100000    0.0420000    0.0170000     0.205000    0.0710000    0.0520000    0.0610000
1202222143   0.5264    2      449           0.341000     0.408000      0.00000    0.0530000      0.00000    0.0730000     0.125000     0.258000    0.0310000    0.0330000    0.0360000   0.00900000     0.365000     0.468000    0.0110000   0.00400000    0.0310000      0.00000      0.00000      0.00000      0.00000      0.00000
1202249179   0.4390    1      151           0.371000     0.490000    0.0530000    0.0130000    0.0860000    0.0260000      0.00000     0.159000    0.0260000      0.00000    0.0460000    0.0130000     0.318000     0.503000      0.00000   0.00700000   0.00700000    0.0200000      0.00000      0.00000      0.00000      0.00000
1202253144   0.5591    1       98            0.00000      0.00000    0.0510000    0.0310000      0.00000    0.0410000    0.0920000     0.143000    0.0200000    0.0100000    0.0310000      0.00000     0.276000     0.337000      0.00000    0.0200000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202260065   0.7383    1      291           0.498000     0.495000     0.127000    0.0100000     0.100000    0.0240000     0.144000     0.313000    0.0270000    0.0210000    0.0240000    0.0270000     0.282000     0.478000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202266102   0.5532    2      652           0.233000     0.250000    0.0600000    0.0340000    0.0740000    0.0550000    0.0810000     0.144000    0.0380000   0.00600000    0.0210000    0.0140000     0.213000     0.193000    0.0140000    0.0200000    0.0350000      0.00000      0.00000      0.00000      0.00000      0.00000
1202276302   0.3764    1      159          0.0440000     0.101000    0.0500000      0.00000    0.0440000    0.0310000      0.00000    0.0250000      0.00000    0.0380000      0.00000    0.0440000    0.0820000     0.113000      0.00000   0.00600000    0.0310000      0.00000     0.145000    0.0130000    0.0190000    0.0190000
1202290134   0.4927    1      150           0.587000     0.660000    0.0730000      0.00000      0.00000      0.00000    0.0870000     0.187000    0.0270000    0.0200000    0.0330000    0.0200000     0.413000     0.580000      0.00000   0.00700000    0.0130000      0.00000      0.00000      0.00000      0.00000      0.00000
1202297132   0.5585    1      144            0.00000      0.00000      0.00000      0.00000    0.0760000    0.0210000    0.0760000     0.111000    0.0490000      0.00000      0.00000      0.00000     0.139000    0.0350000      0.00000   0.00700000   0.00700000      0.00000      0.00000      0.00000      0.00000      0.00000
